Date,Close/Last,Volume,Open,High,Low
04/08/2022,80.22,874143,82.04,82.24,80.06
04/07/2022,82.54,521271,83.6,85.14,80.01
04/06/2022,83.56,1478221,86.01,86.22,81.85
04/05/2022,88.15,1443612,92.34,92.6,87.78
04/04/2022,92.45,1011716,89.01,92.7285,88.71
04/01/2022,87.94,639615,87.48,89.34,86.64
03/31/2022,87.22,904125,90.41,90.41,87.08
03/30/2022,90.57,882081,92.71,94.22,89.93
03/29/2022,93.94,1306327,90.66,94.67,89.77
03/28/2022,89.09,672412,86.48,89.38,86
03/25/2022,85.24,723479,87.98,88.31,84.07
03/24/2022,87.83,690599,87.64,87.9,84.42
03/23/2022,86.72,692661,86.77,89.78,85.46
03/22/2022,87.95,1231384,84.3,88.83,84.07
03/21/2022,83.93,903357,85.4,86.14,82.13
03/18/2022,86.05,1039470,81.5,86.24,81.28
03/17/2022,82.1,1240027,77.47,82.24,76.68
03/16/2022,78.36,2502920,73.393,78.36,73.38
03/15/2022,71.39,1591018,69,71.62,67.95
03/14/2022,68.48,1547332,71.18,72.25,67.86
03/11/2022,71.67,1196784,77.04,77.19,71.52
03/10/2022,76.3,722805,77.43,77.43,74.34
03/09/2022,79.21,1803840,77.41,79.83,77.33
03/08/2022,74.39,1060899,73.38,77.26,71.7
03/07/2022,73.84,1734388,77.8,79.42,73.72
03/04/2022,77.66,1240201,81.57,82.54,77.06
03/03/2022,81.72,942155,86.96,87.02,81.19
03/02/2022,86.74,808089,87.67,87.785,84.14
03/01/2022,87.74,1500708,89.18,90.73,87.061
02/28/2022,89.03,1389276,85.65,90.03,85.25
02/25/2022,85.41,1238814,84.31,85.42,81.23
02/24/2022,83.23,2830756,73.32,83.605,73.21
02/23/2022,78,1482180,81.59,82.31,77.97
02/22/2022,80.73,2318572,80.32,83.54,79.82
02/18/2022,82.43,3168453,85.86,86.08,81.7
02/17/2022,87.35,1562597,91.89,92.05,86.96
02/16/2022,93.17,868536,94.31,94.36,91.93
02/15/2022,96.61,1302931,94.19,96.74,93.33
02/14/2022,91.84,817965,91.8,94.9,90.87
02/11/2022,92.19,1451380,95.49,97.01,91.13
02/10/2022,95.01,1861162,95.87,100.17,94.29
02/09/2022,97.73,1000598,95.05,97.77,94.2
02/08/2022,93.26,1497088,91.55,93.52,90.17
02/07/2022,92.37,1147845,92.58,95.46,91.8
02/04/2022,92.14,1157965,87.91,93.17,86.45
02/03/2022,86.5,1453891,88.3,90.02,86.25
02/02/2022,92.13,1299620,97.3,97.3,90.78
02/01/2022,96.97,1458540,96.45,97.21,93.01
01/31/2022,94.85,2447962,88.21,94.85,88.21
01/28/2022,87.27,2388925,84,87.67,81.81
01/27/2022,83.98,1658088,89.03,89.03,83.58
01/26/2022,87.28,1892404,93.05,93.98,86.69
01/25/2022,89.49,2190090,90.47,92.24,87.74
01/24/2022,92.88,4757457,86.45,93.05,82.73
01/21/2022,91.24,2237281,96.01,96.96,91.071
01/20/2022,97.9,1416614,99.46,103.35,97.7
01/19/2022,97.79,1865860,99.49,101.6,97.76
01/18/2022,98.95,2029249,100.61,102.44,98.75
01/14/2022,102.53,1623554,102.28,104.17,99.98
01/13/2022,102.98,1187528,109.59,109.6,102.81
01/12/2022,108.87,1238760,111.89,113.05,108.09
01/11/2022,110.14,1718431,106.41,110.76,105.41
01/10/2022,106.7,3502996,104.5,106.78,101.5
01/07/2022,106.76,1633751,108.28,110.93,105.87
01/06/2022,108.78,1899609,108.04,110.2885,104.87
01/05/2022,108.9,1997845,114.9,116.27,108.48
01/04/2022,116.15,1196260,120.63,120.75,113.83
01/03/2022,120.67,1203438,120.75,121.49,117.79
12/31/2021,118.58,930809,120.88,122.13,118.51
12/30/2021,120.91,1185206,117.71,122.59,117.71
12/29/2021,118.09,917450,119.24,119.28,116.62
12/28/2021,122.73,748468,125.5,126.38,122.37
12/27/2021,125.78,852460,126,127.06,125.17
12/23/2021,126.09,848768,123.79,126.48,121.84
12/22/2021,123.86,966300,123.48,125.35,122.55
12/21/2021,123.75,853355,120.41,123.89,119.2
12/20/2021,118.66,1009337,118.89,120.56,117.41
12/17/2021,121.55,1459881,116.5,122.34,114.55
12/16/2021,117.89,1292621,123.26,123.47,116.49
12/15/2021,121.56,1503023,119.63,122.2,115.37
12/14/2021,120.66,1176171,119.37,122.13,118.47
12/13/2021,122.01,1493783,124.44,125.42,119.89
12/10/2021,125.42,1206675,128.88,130.39,124.53
12/09/2021,127.73,997105,133.8,135.01,127.18
12/08/2021,134.5,1125876,130.73,135.01,128.69
12/07/2021,130,1441747,128.93,131.59,128.83
12/06/2021,124.81,1888155,121.02,125.31,118.04
12/03/2021,124.19,2443577,130.49,130.59,121.46
12/02/2021,130.75,1488657,130.43,133.19,127.84
12/01/2021,130.44,1615810,140.69,141.175,130.34
11/30/2021,139.33,1476616,143.11,144.27,137.52
11/29/2021,142.54,499389,143.98,144.45,140
11/26/2021,141.63,841734,141.93,143.44,140.47
11/24/2021,142.59,1225011,139.32,143.01,137.8
11/23/2021,140.32,1139707,143.06,143.92,137.68
11/22/2021,143.96,1301740,150.66,150.73,142.4
11/19/2021,149.93,696653,151.33,152.5,149.67
11/18/2021,150.97,939485,154.55,155.1,149.97
11/17/2021,154.34,562940,155.89,156.2,153.86
11/16/2021,156.19,576403,154.43,156.58,153.91
11/15/2021,155.83,697523,157.12,157.85,154.67
11/12/2021,156.61,621279,154.56,156.72,153.87
11/11/2021,153.6,472518,155.22,155.83,153.6
11/10/2021,153.69,1100167,155.71,158.35,151.74
11/09/2021,158.3,1080738,161.48,162.04,156.64
11/08/2021,159.46,791112,157.68,160.63,157.64
11/05/2021,157.71,630588,160.09,160.85,156.48
11/04/2021,160.29,1018001,161,161.97,159.14
11/03/2021,160.74,557356,158.27,160.78,157.25
11/02/2021,158.93,660827,160.57,160.67,157.7101
11/01/2021,161.28,783606,158.01,161.3,157.89
10/29/2021,156.97,437739,156,157.72,155.555
10/28/2021,156.45,380566,153.22,156.8,153.22
10/27/2021,153.42,675256,156.32,157.09,153.31
10/26/2021,156.92,1007247,159.6,161.08,156.251
10/25/2021,158.1,1186972,154.23,158.87,153.45
10/22/2021,152.99,797907,154.76,155.04,151.6
10/21/2021,155.54,397092,154.24,156.695,154.2356
10/20/2021,154.95,537785,155,155.76,153.96
10/19/2021,154.1,593676,152.55,154.7896,152.22
10/18/2021,151.46,462877,148.83,152.07,148.6
10/15/2021,149.32,462118,149.08,149.514,148.28
10/14/2021,148.18,373297,147.99,149.37,147.64
10/13/2021,146.13,470480,143.21,146.23,143.21
10/12/2021,142.95,476131,143,143.729,142.05
10/11/2021,142.04,619939,142.36,144.44,141.93
10/08/2021,142.57,449280,145.25,145.35,142.39
10/07/2021,144.12,597694,142.93,145.171,142.6
10/06/2021,141.34,637554,138.43,141.96,138.32
