Date,Close/Last,Volume,Open,High,Low
04/08/2022,$15.05,75085830,$14.94,$15.44,$14.81
04/07/2022,$14.96,101229100,$15.07,$15.205,$14.56
04/06/2022,$15.39,102881600,$15.6,$15.7971,$15.18
04/05/2022,$15.82,91708010,$16.46,$16.62,$15.81
04/04/2022,$16.66,51272020,$16.66,$16.73,$16.36
04/01/2022,$16.65,64695720,$17.01,$17.15,$16.34
03/31/2022,$16.91,52529390,$17.2,$17.35,$16.5
03/30/2022,$17.27,57853380,$17.52,$17.66,$17.2
03/29/2022,$17.75,90676870,$17.01,$17.8,$17.01
03/28/2022,$16.67,54634370,$16.55,$16.68,$16.28
03/25/2022,$16.47,62023080,$16.74,$16.78,$16.34
03/24/2022,$16.83,56314210,$16.74,$16.98,$16.64
03/23/2022,$16.68,63296760,$16.82,$17.05,$16.565
03/22/2022,$17.09,77647140,$16.72,$17.305,$16.7001
03/21/2022,$16.48,72583600,$16.87,$17.1055,$16.33
03/18/2022,$16.86,89144040,$16.42,$16.895,$16.28
03/17/2022,$16.58,58500240,$16.23,$16.58,$16.16
03/16/2022,$16.58,82677640,$16.47,$16.6298,$16.06
03/15/2022,$16.06,65263720,$15.77,$16.14,$15.53
03/14/2022,$15.74,66341700,$16.085,$16.23,$15.51
03/11/2022,$16.04,54985890,$16.4,$16.48,$16.01
03/10/2022,$16.33,72992640,$16.11,$16.405,$15.76
03/09/2022,$16.37,62846720,$16.65,$16.83,$16.28
03/08/2022,$16.03,101020300,$16.06,$16.72,$15.77
03/07/2022,$15.97,87999220,$16.84,$16.9,$15.97
03/04/2022,$16.85,91440120,$17.35,$17.39,$16.64
03/03/2022,$17.6,95395520,$18.25,$18.25,$17.44
03/02/2022,$18.1,138638200,$17.5,$18.249,$17.295
03/01/2022,$16.7,94819510,$17.41,$17.41,$16.45
02/28/2022,$17.56,82367840,$17.34,$17.675,$17.2101
02/25/2022,$17.83,78887950,$17.25,$17.9,$17.12
02/24/2022,$17.15,110443900,$15.99,$17.19,$15.955
02/23/2022,$16.95,79855390,$17.5,$17.73,$16.88
02/22/2022,$17.29,98550680,$17.67,$17.76,$17.07
02/18/2022,$18.04,106404200,$17.6,$18.48,$17.57
02/17/2022,$17.54,55368610,$17.86,$17.94,$17.5
02/16/2022,$18.01,57442110,$17.885,$18.21,$17.74
02/15/2022,$18.08,66043640,$17.8,$18.13,$17.72
02/14/2022,$17.46,78625020,$17.51,$17.7299,$17.29
02/11/2022,$17.55,94534090,$18.1,$18.36,$17.42
02/10/2022,$18.08,76195320,$17.965,$18.63,$17.92
02/09/2022,$18.35,87118590,$18.27,$18.43,$18.03
02/08/2022,$17.72,142694300,$17.575,$17.91,$17.02
02/07/2022,$17.89,84609970,$17.73,$18.12,$17.7
02/04/2022,$17.96,211100500,$18.525,$18.59,$17.52
02/03/2022,$19.89,103016000,$20.17,$20.62,$19.87
02/02/2022,$20.63,95377620,$20.81,$21.05,$20.18
02/01/2022,$20.66,117651800,$20.61,$20.85,$19.92
01/31/2022,$20.3,91361950,$19.58,$20.33,$19.3701
01/28/2022,$19.54,87677100,$19.32,$19.55,$18.9245
01/27/2022,$19.55,105674400,$20.31,$20.65,$19.41
01/26/2022,$19.91,135786400,$21.01,$21.04,$19.57
01/25/2022,$19.98,116775800,$20,$20.31,$19.56
01/24/2022,$20.39,186937300,$19.93,$20.47,$18.8
01/21/2022,$20.65,145532900,$21.21,$21.5,$20.54
01/20/2022,$21.65,152014100,$21.88,$22.88,$21.57
01/19/2022,$22.45,153198200,$24.65,$24.92,$22.41
01/18/2022,$24.38,110820100,$24.87,$25.13,$24.3
01/14/2022,$25.19,146012200,$24.47,$25.28,$24.3
01/13/2022,$25.02,185780500,$24.64,$25.87,$24.37
01/12/2022,$24.47,104050000,$24.61,$24.84,$24.01
01/11/2022,$24.35,106011600,$23.78,$24.35,$23.28
01/10/2022,$23.85,122800700,$24.1,$24.44,$23.35
01/07/2022,$24.44,127017500,$24.67,$24.91,$24.04
01/06/2022,$24.46,155058800,$24.09,$24.62,$23.36
01/05/2022,$23.66,253540000,$24.06,$24.95,$23.47
01/04/2022,$24.31,311645200,$22.52,$24.5576,$22.42
01/03/2022,$21.77,110964700,$21.27,$21.88,$21.06
12/31/2021,$20.77,51899610,$20.46,$21.01,$20.46
12/30/2021,$20.47,51470110,$20.59,$20.96,$20.47
12/29/2021,$20.56,37882980,$20.71,$20.77,$20.45
