Date,Close/Last,Volume,Open,High,Low
04/08/2022,$89.74,4017239,$89.49,$90.27,$88.62
04/07/2022,$89.46,7097205,$89.82,$90.08,$87.09
04/06/2022,$89.91,6576669,$89.37,$90.17,$87.82
04/05/2022,$90.1,6720767,$91.66,$92.34,$89.91
04/04/2022,$92.02,5141193,$92.18,$92.32,$90.9
04/01/2022,$92.49,5641339,$92.1,$92.56,$91.11
03/31/2022,$91.5,8225689,$93.75,$93.947,$91.47
03/30/2022,$94.58,5633618,$93.62,$95.14,$93.3022
03/29/2022,$94.65,8594622,$93.02,$94.97,$93.02
03/28/2022,$92,7519411,$93.6,$93.64,$90.72
03/25/2022,$94.02,5751099,$94.44,$94.91,$93.411
03/24/2022,$94.12,5333810,$94.39,$94.42,$93.65
03/23/2022,$93.7,4893275,$94.58,$94.66,$93.51
03/22/2022,$94.9,4816211,$95.24,$96.23,$94.6
03/21/2022,$94.82,5482147,$94.45,$95.72,$93.645
03/18/2022,$95.59,7396631,$95.59,$95.91,$94.5619
03/17/2022,$95.53,4350277,$94.2,$95.57,$93.31
03/16/2022,$94.7,5578656,$93.47,$95.44,$92.735
03/15/2022,$92.35,5102438,$93.25,$93.56,$91.26
03/14/2022,$92.45,6043621,$92.44,$93.99,$91.94
03/11/2022,$92.28,7066380,$92.8,$93.62,$91.66
03/10/2022,$91.33,8115515,$87.77,$91.6,$87.4515
03/09/2022,$91.25,6475832,$91.46,$92.99,$91.1
03/08/2022,$88.15,6857079,$87.03,$90.45,$85.545
03/07/2022,$85.38,7120132,$88.67,$89.205,$85.29
03/04/2022,$89.14,8441538,$90.22,$90.48,$87.52
03/03/2022,$92.45,4622944,$94.94,$95.3,$91.98
03/02/2022,$94.16,4442828,$93.46,$94.95,$93.08
03/01/2022,$92.33,6732460,$94.96,$96.06,$91.87
02/28/2022,$95.51,6319108,$94.76,$95.8196,$94.13
02/25/2022,$96.37,6972485,$93.41,$97.42,$93.06
02/24/2022,$92.54,11392370,$90.59,$93.09,$87.7
02/23/2022,$92.65,7376523,$93.79,$94.86,$92.31
02/22/2022,$94.15,7694145,$92.64,$95.2249,$92.37
02/18/2022,$92.69,15644110,$98.42,$98.97,$91.92
02/17/2022,$98.46,3881022,$100.35,$100.43,$97.88
02/16/2022,$101.41,4891072,$100.09,$101.91,$99.89
02/15/2022,$100.92,6697616,$97.99,$101.38,$97.95
02/14/2022,$96.6,6960777,$96.71,$97.4,$95.56
02/11/2022,$96.83,7455454,$99.02,$100.23,$96.17
02/10/2022,$98.79,5512914,$98.39,$100.68,$98
02/09/2022,$99.25,6624205,$100.25,$100.47,$99.12
02/08/2022,$99.31,5158353,$99.98,$100.5,$98.63
02/07/2022,$99.9,4385658,$99.37,$100.59,$98.5
02/04/2022,$99.01,6403566,$97.7,$100.05,$97.64
02/03/2022,$98.32,6213283,$97.15,$99.16,$96.55
02/02/2022,$98.04,5561406,$97.67,$98.58,$96.16
02/01/2022,$97.95,8149215,$95,$98.42,$94.75
01/31/2022,$94.48,7001570,$91.61,$94.555,$91.03
01/28/2022,$92.1,6478640,$89.3,$92.16,$88.85
01/27/2022,$89.9,7804627,$90,$91.77,$88.07
01/26/2022,$89.32,10637160,$91.51,$91.91,$88.05
01/25/2022,$91.11,20951990,$91.12,$92.36,$88.3
01/24/2022,$96.91,9879456,$94.59,$97.44,$92.29
01/21/2022,$96.3,8077410,$97.7,$98.35,$95.86
01/20/2022,$98.25,5635453,$100.23,$101.79,$97.97
01/19/2022,$100.62,5698958,$102.69,$102.99,$100.47
01/18/2022,$102.89,8412995,$102.56,$103.73,$102.16
01/14/2022,$103.16,4380309,$101.66,$103.27,$100.91
01/13/2022,$102.46,4382511,$102.29,$103.65,$101.8
01/12/2022,$102.24,4558453,$101.43,$102.6178,$101.38
01/11/2022,$101.79,5673887,$100.29,$102.37,$99.97
01/10/2022,$99.42,5768666,$101.72,$102,$98.94
01/07/2022,$101.4,6248430,$99.8,$102.24,$99.77
01/06/2022,$99.95,4277011,$100.45,$101.08,$99.42
01/05/2022,$99.37,5894662,$99.73,$101.79,$99.29
01/04/2022,$99.37,7624083,$98.78,$100.05,$98.09
01/03/2022,$96.24,4621178,$95.22,$97.44,$94.75
12/31/2021,$94.47,3795703,$94.5,$94.97,$93.9
